,TX HASH,COINBASE,VERSION,VIN,VOUT,SHIELDEDSPEND,SHIELDEDOUT,NS
509003,72708046f6,0,4,0,0,3.0,1.0,57253700
509015,5e1fcbdd93,0,4,0,0,2.0,2.0,81702300
509659,e2c989e969,0,4,1,0,0.0,1.0,15290400
509660,8fc194bb63,0,4,1,0,0.0,1.0,16168500
509661,79925f43b5,0,4,1,0,0.0,1.0,17685700
509662,acfb6647e9,0,4,1,0,0.0,1.0,10925800
509674,22eb35afec,0,4,2,0,0.0,1.0,21189200
509675,0928a75032,0,4,1,0,0.0,1.0,14545600
509676,59a2fb3c85,0,4,1,0,0.0,1.0,18431700
509690,63cdebb1b7,0,4,0,0,2.0,1.0,51747900
509703,3de135cec0,0,4,0,0,1.0,2.0,56227000
509708,d6f67ae9bd,0,4,0,0,20.0,1.0,284557600
509728,11f05a3ddf,0,4,0,0,1.0,2.0,33327500
509741,6775b47551,0,4,0,0,1.0,2.0,44323300
509797,81e9b1142b,0,4,0,0,1.0,2.0,32214700
509850,ce63a2bf47,0,4,0,0,2.0,1.0,36992200
509854,a9c0bb5a80,0,4,1,0,0.0,1.0,10537200
509860,4f64301370,0,4,1,0,0.0,1.0,10241600
509963,0cf03c89be,0,4,1,0,0.0,1.0,20390400
509973,e5c46b8fac,0,4,0,0,1.0,2.0,48603200
